2019-05-19 18:19:37
sign_sgd_majority_two-point_log-reg_fix-step_20_1,0_1
it: 0, loss: 33714.65929296417, stepsize: 1.0
it: 1, loss: 32876.606422526194, stepsize: 1.0
it: 2, loss: 32052.559230209885, stepsize: 1.0
it: 3, loss: 31242.516282089535, stepsize: 1.0
it: 4, loss: 30445.649957716152, stepsize: 1.0
it: 5, loss: 29661.613740027056, stepsize: 1.0
it: 6, loss: 28890.75410775023, stepsize: 1.0
it: 7, loss: 28132.731086185493, stepsize: 1.0
it: 8, loss: 27387.882098308186, stepsize: 1.0
it: 9, loss: 26655.869859291062, stepsize: 1.0
it: 10, loss: 25937.041450134246, stepsize: 1.0
it: 11, loss: 25231.040769440067, stepsize: 1.0
it: 12, loss: 24538.228240870107, stepsize: 1.0
it: 13, loss: 23858.236363625278, stepsize: 1.0
it: 14, loss: 23191.434307512714, stepsize: 1.0
it: 15, loss: 22537.021956262182, stepsize: 1.0
it: 16, loss: 21894.332767484528, stepsize: 1.0
it: 17, loss: 21261.107366375374, stepsize: 1.0
it: 18, loss: 20639.605768591187, stepsize: 1.0
it: 19, loss: 20029.19384011044, stepsize: 1.0
it: 20, loss: 19429.69505155577, stepsize: 1.0
it: 21, loss: 18841.284072687038, stepsize: 1.0
it: 22, loss: 18265.309536717727, stepsize: 1.0
it: 23, loss: 17697.3843241017, stepsize: 1.0
it: 24, loss: 17141.901774756156, stepsize: 1.0
it: 25, loss: 16597.504691036855, stepsize: 1.0
it: 26, loss: 16064.043069412655, stepsize: 1.0
it: 27, loss: 15541.656592531652, stepsize: 1.0
it: 28, loss: 15030.218550750818, stepsize: 1.0
it: 29, loss: 14528.464156700456, stepsize: 1.0
it: 30, loss: 14037.035285371978, stepsize: 1.0
it: 31, loss: 13555.28182690101, stepsize: 1.0
it: 32, loss: 13084.649640695456, stepsize: 1.0
it: 33, loss: 12621.7784423298, stepsize: 1.0
it: 34, loss: 12168.351819902195, stepsize: 1.0
it: 35, loss: 11724.280563826345, stepsize: 1.0
it: 36, loss: 11288.85105888162, stepsize: 1.0
it: 37, loss: 10862.788016624421, stepsize: 1.0
it: 38, loss: 10445.356178899057, stepsize: 1.0
it: 39, loss: 10037.300809202341, stepsize: 1.0
it: 40, loss: 9637.86626973457, stepsize: 1.0
it: 41, loss: 9247.819788832676, stepsize: 1.0
it: 42, loss: 8866.381103065482, stepsize: 1.0
it: 43, loss: 8494.345036407742, stepsize: 1.0
it: 44, loss: 8130.9012029130245, stepsize: 1.0
it: 45, loss: 7776.875641879852, stepsize: 1.0
it: 46, loss: 7431.426782523156, stepsize: 1.0
it: 47, loss: 7095.411361716827, stepsize: 1.0
it: 48, loss: 6767.957985710987, stepsize: 1.0
it: 49, loss: 6449.952589590041, stepsize: 1.0
it: 50, loss: 6140.49647167954, stepsize: 1.0
it: 51, loss: 5840.503741673614, stepsize: 1.0
it: 52, loss: 5549.046969736907, stepsize: 1.0
it: 53, loss: 5267.069182883542, stepsize: 1.0
it: 54, loss: 4994.429433710699, stepsize: 1.0
it: 55, loss: 4729.6477405443375, stepsize: 1.0
it: 56, loss: 4474.18160470305, stepsize: 1.0
it: 57, loss: 4228.23955377246, stepsize: 1.0
it: 58, loss: 3991.6000608915465, stepsize: 1.0
it: 59, loss: 3762.8422708095427, stepsize: 1.0
it: 60, loss: 3545.891570844757, stepsize: 1.0
it: 61, loss: 3331.4977813693067, stepsize: 1.0
it: 62, loss: 3128.862704029262, stepsize: 1.0
it: 63, loss: 2933.5825227578716, stepsize: 1.0
it: 64, loss: 2744.1102732445424, stepsize: 1.0
it: 65, loss: 2562.2467732203786, stepsize: 1.0
it: 66, loss: 2388.2045893227805, stepsize: 1.0
it: 67, loss: 2220.3485818344257, stepsize: 1.0
it: 68, loss: 2060.317893629899, stepsize: 1.0
it: 69, loss: 1906.4768196066746, stepsize: 1.0
it: 70, loss: 1760.4730908140057, stepsize: 1.0
it: 71, loss: 1620.6500622350754, stepsize: 1.0
it: 72, loss: 1488.6658409748848, stepsize: 1.0
it: 73, loss: 1362.8736327159747, stepsize: 1.0
it: 74, loss: 1244.9116415961653, stepsize: 1.0
it: 75, loss: 1133.1849363388264, stepsize: 1.0
it: 76, loss: 1029.2598363272164, stepsize: 1.0
it: 77, loss: 931.6241552666846, stepsize: 1.0
