2019-05-19 18:19:30
sign_sgd_majority_two-point_log-reg_fix-step_20_0,1_1
it: 0, loss: 33714.65929296417, stepsize: 0.1
it: 1, loss: 33630.223715987195, stepsize: 0.1
it: 2, loss: 33545.928206031764, stepsize: 0.1
it: 3, loss: 33461.77276238052, stepsize: 0.1
it: 4, loss: 33377.75738413537, stepsize: 0.1
it: 5, loss: 33293.88207024028, stepsize: 0.1
it: 6, loss: 33210.14681951216, stepsize: 0.1
it: 7, loss: 33126.551630681526, stepsize: 0.1
it: 8, loss: 33043.09650243855, stepsize: 0.1
it: 9, loss: 32959.78143347692, stepsize: 0.1
it: 10, loss: 32876.60642252622, stepsize: 0.1
it: 11, loss: 32793.571468365495, stepsize: 0.1
it: 12, loss: 32710.676569815376, stepsize: 0.1
it: 13, loss: 32627.92172571121, stepsize: 0.1
it: 14, loss: 32545.306934864177, stepsize: 0.1
it: 15, loss: 32462.832196019936, stepsize: 0.1
it: 16, loss: 32380.497507824064, stepsize: 0.1
it: 17, loss: 32298.302868800936, stepsize: 0.1
it: 18, loss: 32216.24827734918, stepsize: 0.1
it: 19, loss: 32134.333731753388, stepsize: 0.1
it: 20, loss: 32052.55923020995, stepsize: 0.1
it: 21, loss: 31970.924770863894, stepsize: 0.1
it: 22, loss: 31889.430351855393, stepsize: 0.1
it: 23, loss: 31808.075971375234, stepsize: 0.1
it: 24, loss: 31726.86162773072, stepsize: 0.1
it: 25, loss: 31645.787319423835, stepsize: 0.1
it: 26, loss: 31564.870192489165, stepsize: 0.1
it: 27, loss: 31484.055942768362, stepsize: 0.1
it: 28, loss: 31403.398965636046, stepsize: 0.1
it: 29, loss: 31322.84476975364, stepsize: 0.1
it: 30, loss: 31242.43060666929, stepsize: 0.1
it: 31, loss: 31162.15647720989, stepsize: 0.1
it: 32, loss: 31081.999665743733, stepsize: 0.1
it: 33, loss: 31001.98559052004, stepsize: 0.1
it: 34, loss: 30922.08888616849, stepsize: 0.1
it: 35, loss: 30842.332258673778, stepsize: 0.1
it: 36, loss: 30762.71569778686, stepsize: 0.1
it: 37, loss: 30683.20171102132, stepsize: 0.1
it: 38, loss: 30603.827772313096, stepsize: 0.1
