2019-05-19 18:18:43
sign_sgd_majority_one-point_log-reg_fix-step_20_0,5_1
it: 0, loss: 33714.65929296417, stepsize: 0.5
it: 1, loss: 33293.882070240266, stepsize: 0.5
it: 2, loss: 32876.606422526194, stepsize: 0.5
it: 3, loss: 32462.832196019877, stepsize: 0.5
it: 4, loss: 32052.559230209885, stepsize: 0.5
it: 5, loss: 31645.787319423755, stepsize: 0.5
it: 6, loss: 31242.516282089535, stepsize: 0.5
it: 7, loss: 30842.332258673672, stepsize: 0.5
it: 8, loss: 30445.649957716152, stepsize: 0.5
it: 9, loss: 30051.88092082298, stepsize: 0.5
it: 10, loss: 29661.69997854367, stepsize: 0.5
it: 11, loss: 29274.43349034802, stepsize: 0.5
it: 12, loss: 28890.75410775023, stepsize: 0.5
it: 13, loss: 28509.991311476802, stepsize: 0.5
it: 14, loss: 28132.814431162245, stepsize: 0.5
it: 15, loss: 27758.555053458833, stepsize: 0.5
it: 16, loss: 27387.882098308186, stepsize: 0.5
it: 17, loss: 27020.125189746148, stepsize: 0.5
it: 18, loss: 26655.957651794834, stepsize: 0.5
it: 19, loss: 26294.703628890893, stepsize: 0.5
it: 20, loss: 25936.951583699254, stepsize: 0.5
it: 21, loss: 25582.29024327389, stepsize: 0.5
it: 22, loss: 25231.13189521597, stepsize: 0.5
it: 23, loss: 24882.883085919893, stepsize: 0.5
it: 24, loss: 24538.135962094533, stepsize: 0.5
it: 25, loss: 24196.481700067732, stepsize: 0.5
it: 26, loss: 23858.329668068756, stepsize: 0.5
it: 27, loss: 23523.084654325576, stepsize: 0.5
it: 28, loss: 23191.434307512714, stepsize: 0.5
it: 29, loss: 22862.47781511354, stepsize: 0.5
it: 30, loss: 22536.73459268796, stepsize: 0.5
it: 31, loss: 22213.927003133955, stepsize: 0.5
it: 32, loss: 21893.277268488226, stepsize: 0.5
it: 33, loss: 21575.969607998366, stepsize: 0.5
it: 34, loss: 21260.820111799927, stepsize: 0.5
it: 35, loss: 20948.60600234709, stepsize: 0.5
it: 36, loss: 20639.36320755609, stepsize: 0.5
it: 37, loss: 20333.408574815272, stepsize: 0.5
it: 38, loss: 20029.760340368095, stepsize: 0.5
it: 39, loss: 19728.452521817428, stepsize: 0.5
it: 40, loss: 19429.451180705564, stepsize: 0.5
it: 41, loss: 19133.73894060646, stepsize: 0.5
it: 42, loss: 18841.09131215303, stepsize: 0.5
it: 43, loss: 18550.786123654645, stepsize: 0.5
it: 44, loss: 18263.639180516777, stepsize: 0.5
it: 45, loss: 17978.8361673646, stepsize: 0.5
it: 46, loss: 17697.09685403872, stepsize: 0.5
it: 47, loss: 17417.89049336762, stepsize: 0.5
it: 48, loss: 17141.748675817813, stepsize: 0.5
it: 49, loss: 16867.95144269545, stepsize: 0.5
it: 50, loss: 16597.218513287426, stepsize: 0.5
it: 51, loss: 16329.020428653384, stepsize: 0.5
it: 52, loss: 16063.887635981471, stepsize: 0.5
it: 53, loss: 15801.445022742657, stepsize: 0.5
it: 54, loss: 15541.469614492204, stepsize: 0.5
it: 55, loss: 15284.1839608936, stepsize: 0.5
it: 56, loss: 15029.873647020773, stepsize: 0.5
it: 57, loss: 14777.58972122117, stepsize: 0.5
